l_rdl,w_rdl,t_rdl,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
597.89,26.65,3.21,84.31,56.9,597.9204209438781,1729.8295782439031,1335.8525844980693,816.8207296723112,1080.603281038408,20.604558762373816,159.29392637633717,101.64955353201664,0.06111733436503531,0.0030897698730191357,3.010884876821685,0.4969860590487788
408.7,18.42,3.54,88.69,59.17,717.5679751899295,2983.9407446941614,1874.433554253265,1022.7767589475001,1211.0283256810646,26.73058801652943,118.57846821904039,88.99064686906534,0.06933901504698267,0.0021353509786258404,4.290670967581644,0.5802674872586526
517.11,21.08,3.06,73.76,59.34,744.4341400198955,2656.353127820037,1620.431698941391,961.403538012226,1209.5336322940211,21.830045724830587,131.55616723993793,89.50414461224479,0.06957053693930966,0.0027029398086807154,3.2423089342873364,0.5970952113019921
232.51,20.16,3.53,86.29,57.34,739.2184684109915,2700.36643446268,2108.4831184003333,1066.991009271209,1023.4313808718954,28.002255818808386,126.49233461072464,95.06912469242248,0.0666228665730476,0.0025849330261074267,3.7988731739080683,0.59378133141872
564.61,12.64,2.95,79.12,43.84,1165.2785606777395,5525.038127406001,2853.5982068829985,970.4389929397549,1435.8732009358605,28.29829120513147,91.47817298683708,96.20687755306116,0.06361637484948954,0.0014457197045913567,3.7696495386423603,0.5330754968063891
411.09,17.43,3.63,65.98,44.22,761.836968390486,2673.994006359085,2173.5286121024405,862.1836670419611,1011.9165726118684,29.033771804803767,115.28355285701858,104.6308558592619,0.06043937186402292,0.002569245271598927,3.741535894867148,0.5680025335338308
537.4,22.16,2.88,77.51,48.1,790.9177163409321,2343.099870397187,1868.9872111501463,813.434574553971,1042.8438167802078,21.491084117166327,136.54186508801556,106.23134769835656,0.05875191483655478,0.002201811191204379,2.7633016369562506,0.5375074114477644
171.48,13.06,2.75,77.41,56.68,1329.9280994799428,6815.281839893002,3424.4136736235037,1360.9725372263938,1562.5944762301122,29.37537975259696,92.02828556371462,86.55405009693757,0.07392910027928604,0.0017409295904480843,3.7876756042348982,0.569915153648498
388.67,26.48,4.14,96.11,47.12,559.5437812282131,1083.304695116603,1685.193842368601,711.3123550632096,539.3432729197954,26.346730290241258,158.09948556373433,121.60690364971876,0.05203760971910874,0.005478959053944686,2.3632208547438633,0.5723993806334852
107.96,20.32,2.04,69.86,46.87,1639.7722995099466,5275.966653653363,3894.8133785428668,1174.3543744947724,1260.3646649469665,23.92284231590977,126.46301005453513,111.15506463017496,0.059945195398468536,0.002186408654139962,2.636422511844613,0.5720445976829677
473.25,27.46,4.73,71.65,44.09,565.26327023803,656.4210487771975,1605.1949864649575,619.8939586492173,310.30937505623064,25.42202509549956,166.01447237964874,130.63133640177315,0.0494500222554327,0.007099200107282382,1.5095221704522714,0.5081816457220588
449.37,11.06,4.43,95.46,40.4,1267.900682080534,2020.543066295265,2504.2074947433757,935.4996941755298,116.68610885310731,28.083864832353456,85.42205264863796,102.80888708339005,0.05998597418212793,0.0030624214280481304,1.506060066776387,0.5204716499890117
349.47,29.89,3.08,94.08,42.16,728.8455918035623,1258.6945617706936,2186.145081778182,595.4616686216821,768.3175078320102,25.608043184702634,175.4949611311012,146.70551641107008,0.04487745912682085,0.002280734822896377,2.3540984120252384,0.43380313816434324
503.19,23.05,4.56,62.54,49.0,552.7124919731062,1105.5756771873957,1541.386546441775,766.9819942398934,415.9410564444462,26.169446768317936,144.58088931234684,106.82743031728417,0.06015400656491756,0.005746813063526034,1.9569948718198775,0.6024211447804343
195.08,18.91,4.63,79.98,44.2,1531.2827651681046,856.1870956966264,1899.2089953257932,884.3039331687194,69.11210123735817,14.963136311073317,122.32102987399166,113.57720717605416,0.05671704074671196,0.004691428188755833,1.7623287806211154,0.32878181419788677
641.56,13.25,4.66,84.55,51.12,1139.3763753676908,1389.821872999144,1744.9717392976722,971.1400788334495,89.73798364635942,22.919326340314253,96.13600020906141,90.23989022554792,0.0676595017169046,0.0031740574253399617,1.4095021765482882,0.4120053680101291
133.52,15.35,3.66,65.14,51.97,940.2050018806665,4078.6312353231647,2791.4638724725796,1241.2834161523274,1129.097298560022,33.935848893754894,104.37529288065488,96.16602366892813,0.06894245312002134,0.002765880069329797,4.048347669740026,0.5899873600076749
340.3,14.76,4.16,99.99,41.39,1089.8952092961317,1727.051768008044,2226.8098652863955,888.1645986660967,110.54579276841665,25.580394095180957,101.77808386807575,108.22233044399654,0.057371524287908884,0.004208108474719797,1.4423850968605483,0.4782889903648594
638.38,16.31,2.3,85.36,42.18,1266.007103529804,4096.574241102965,2487.9385234316314,872.4646112012101,1082.6218189862852,19.93080345845118,108.98573512676948,104.71754620485667,0.05826699907874564,0.001679411718766095,2.0185100779721803,0.541939703358514
