d_tsv,h_tsv,p_rdl,R1,R2,R3,L1,L2,L3,Cox,Csi,Rsi,rmse,scale_max,scale_min
5.31,86.79,46.55,1398.326117488831,1128.4117986716174,1474.0445713615609,1089.6280647185743,98.11050920647537,22.781193035163056,885.8440277505547,202.9949739795748,0.031677049373074743,0.006248771633232864,1.5799529876108682,0.30555467134455955
12.21,94.2,56.71,438.9756609947287,174.90053563511117,775.6822035431385,834.8702350890937,105.21683067607992,17.742210090690353,1514.3058961704658,264.130994671799,0.02484163820761158,0.012431512979064379,1.5209369112574496,0.45995413602421387
10.57,75.47,58.56,564.2812007286437,267.3585245218779,932.3247397342884,991.4387907753621,109.97540416317521,19.130181934997108,1396.1779979401902,236.21518241538013,0.027506430214496468,0.00970861937392216,1.5468220287395973,0.49410791330626797
6.43,95.71,53.66,1233.255826491331,635.9355575351168,1340.60194205903,1094.1615390832517,93.94223952185531,16.144334557895515,981.081061517721,195.3017399739811,0.03218309519420075,0.006569615631372145,1.8802051959300383,0.40601570190119884
7.73,83.76,56.11,954.4048441633789,464.8059254023429,1234.9346930933907,1077.8347278565293,97.13269033122869,16.925146030171682,1131.268525104406,206.54285959918198,0.030763476737598886,0.007238033850985682,1.803382144379764,0.46762517534109277
6.41,84.01,52.18,1282.0781008385263,676.436743146973,1366.6202377374555,1101.0539006295246,94.81398037774444,16.610251486251542,1004.2713933442167,201.85590898903396,0.03161621290002136,0.006605993599511805,1.8736474584707814,0.379682184918796
14.8,95.81,55.21,402.63804949059977,136.72099967071162,755.9292626681183,701.6659772459554,107.8455155088003,18.102446032721197,1783.333794993323,332.458686928634,0.021616303516014623,0.020590626681425066,1.5150545847839707,0.4171531682913007
11.51,64.06,44.05,499.00974895598233,148.40259498104038,1093.1957899881963,719.4216294059806,126.29571972778344,24.592000840149694,1467.2635695328547,332.8417424571169,0.021577411962746276,0.01533680593112848,1.3655747431289682,0.5195606672450622
11.4,61.2,51.81,548.6751869725146,248.38451823133656,971.042275373545,885.9913936552806,118.67715218777705,20.673762302786717,1468.6274602242652,280.77552794155645,0.02438925885559155,0.012277215639365369,1.5084964106282803,0.4861082827275446
5.48,98.01,58.98,1520.6284915131682,894.2701011497686,1300.7763168384765,1237.7554952107353,92.09613908099647,16.25179738007363,882.7842544057825,176.70068548582816,0.035575367722211225,0.006300153331944336,1.8694033899337106,0.33142119554942434
13.26,67.65,59.4,457.3550387097769,177.44429525765216,833.4950560991911,909.8858584202305,111.1907716854675,18.949622930794682,1635.6878971098993,279.20580225316763,0.024563191307728223,0.014583814364833957,1.5197125341317754,0.4485763084144473
13.35,76.81,59.84,437.8828264241662,166.9696894979578,792.9189861976165,881.963580535798,108.19525815045216,18.28810861153513,1637.1490343106304,275.9040087810509,0.024559803891441113,0.014604422193421764,1.5228391102312933,0.4427844713108552
8.3,92.57,55.11,812.4513074386938,400.4237846243205,1110.7321439161478,1006.993955538962,98.49773359636818,17.202623117346246,1165.9326781847008,212.7435502087881,0.02960895568183479,0.007562484208078029,1.7341983052500376,0.4800048175709507
14.02,95.24,51.11,414.4780358728717,144.96696612473215,781.7251019506219,668.7235142394555,109.44580325590114,18.47729651544143,1692.6384371255476,340.74083567449003,0.021099453482317645,0.019160386539632254,1.504465913373931,0.43134352085518185
13.7,66.59,47.07,476.15729742928966,108.44932947832555,974.8582281800716,667.1257039000337,116.8910439592264,21.264528218178356,1671.0106875750234,376.50861265477494,0.020201102904592004,0.020033651191195635,1.4946568522895216,0.4555294018440918
12.98,99.97,41.56,437.28039313123674,154.88749209807057,853.5734793143398,541.7535443510795,117.61955912528668,20.01647187429029,1570.0310305591854,403.1145842583103,0.01886374396502683,0.018591092169956212,1.4673113974192453,0.4543087294283353
7.28,56.7,58.52,631.2667174633431,931.4765920450347,1443.78014003034,1265.2972962695135,285.7104363185144,37.086909881687355,1184.2543595439342,208.7147220911073,0.03191189451336325,0.006909088628214485,1.388138017489786,0.5379544676399591
7.58,82.58,42.19,1001.0837429916679,497.79895047991687,1325.8541318571492,860.2400714461618,100.04979876148508,18.07025760442978,1111.824485642138,249.90623876672515,0.026196893905011103,0.007980861897337831,1.7914396826847683,0.45586222475451377
14.04,61.17,41.52,490.9879583022015,64.19511448480509,1124.1597379030222,546.6944239991453,98.55101231489215,25.81596144459328,1701.4989790864277,471.6300989748554,0.0178950078500169,0.02300446173085995,1.4239339611649777,0.3079654519796072
14.92,79.55,51.39,434.2900775186122,145.71065375395838,839.6276996663851,664.502009211321,116.80100163233787,19.82757787870224,1799.1787316947064,372.17711230488936,0.020349459775064353,0.022676974831306377,1.4986336315363538,0.4255506092500868
